
Filename,File Size,Timestamp,Bytes Free,Bytes Total,Bytes Used,Usage
.rpmstore/,4096,Jul 07 15:20:26 2022,N/A,N/A,N/A,N/A
.swtam/,4096,Jul 07 15:20:46 2022,N/A,N/A,N/A,N/A
bootflash_sync_list,0,Jul 07 15:20:40 2022,N/A,N/A,N/A,N/A
eem_snapshots/,4096,Jul 07 15:20:49 2022,N/A,N/A,N/A,N/A
evt_log_snapshot/,4096,Jul 07 15:20:45 2022,N/A,N/A,N/A,N/A
nxos.9.3.8.bin,1956867584,Aug 04 22:58:29 2021,N/A,N/A,N/A,N/A
platform-sdk.cmd,0,Jul 14 20:45:10 2022,N/A,N/A,N/A,N/A
scripts/,4096,Jul 07 15:21:23 2022,N/A,N/A,N/A,N/A
virt_strg_pool_bf_vdc_1/,4096,Jul 14 20:47:16 2022,N/A,N/A,N/A,N/A
virtual-instance/,4096,Jul 14 20:46:53 2022,N/A,N/A,N/A,N/A
virtual-instance.conf,120,Jul 14 20:46:42 2022,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250744832,4253818880,4003074048,bootflash://
