
Admin State,Description,Encapsulation,Ethernet Admin FEC State,Ethernet Auto Negotiate,Ethernet Babbles,Ethernet Bad Ethernet,Ethernet Bad Protocol,Ethernet Beacon,Ethernet BIA Address,Ethernet Bandwidth,Ethernet Clear Counters,Ethernet Collisions,Ethernet CRC,Ethernet Deferred,Ethernet Delay,Ethernet Dribble,Ethernet Duplex,Ethernet EEE State,Ethernet Ethertype,Ethernet Frame,Ethernet Giants,Ethernet MAC Address,Ethernet Hardware Description,Ethernet Ignored,Ethernet Input Flow Control,Ethernet Input Interface Down Drops,Ethernet Input Broadcast,Ethernet Input Bytes,Ethernet Input Discard,Ethernet Input Error,Ethernet Input Multicast,Ethernet Input Pause,Ethernet Input Packets,Ethernet Input Rate 1 Bits,Ethernet Input Rate 1 Packets,Ethernet Input Rate 1 Summary Bits,Ethernet Input Rate 1 Summary Packets,Ethernet Input Rate 2 Bits,Ethernet Input Rate 2 Packets,Ethernet Input Rate 2 Summary Bits,Ethernet Input Rate 2 Summary Packets,Ethernet Input Unicast,Ethernet IP Address,Ethernet IP Mask,Ethernet IP Prefix,Ethernet Jumbo Input Packets,Ethernet Jumbo Outpkts,Ethernet Late Collision,Ethernet Link Flapped,Ethernet Load Interval 1 RX,Ethernet Load Interval 1 TX,Ethernet Load Interval 2_RX,Ethernet Load Interval 2 TX,Ethernet Lost Carrier,Ethernet MDIX,Ethernet MTU,Ethernet No Buffer,Ethernet No Carrier,Ethernet Opereration FEC State,Ethernet Output Flow Control,Ethernet Output Broadcast,Ethernet Output Bytes,Ethernet Output Discard,Ethernet Output Error,Ethernet Output Multicast,Ethernet Output Pause,Ethernet Output Packets,Ethernet Output Rate 1 Bits,Ethernet Output Rate 1 Packets,Ethernet Output Rate 1 Summary Bits,Ethernet Output Rate 1 Summary Packets,Ethernet Output Rate 2 Bits,Ethernet Output Rate 2 Packets,Ethernet Output Rate 2 Summary Bits,Ethernet Output Rate 2 Summary Packets,Ethernet Output Unicast,Ethernet Overrun,Ethernet Reliability,Ethernet Reset Control,Ethernet Runts,Ethernet RX Load,Ethernet TX Load,Ethernet Speed,Ethernet Storm Support,Ethernet SWT Monitor,Ethernet Underrun,Ethernet Watchdog,Interface,Medium,Share State,State,Loopback Input Bytes,Loopback Input Compressed,Loopback Input Errors,Loopback Input FIFO,Loopback Input Frame,Loopback Input Multicast,Loopback Input Overrun,Loopback Input Packets,Loopback Output Bytes,Loopback Output Carriers,Loopback Output Collisions,Loopback Output Errors,Loopback Output FIFO,Loopback Output Packets,Loopback Output Underruns,VDC Level Input Average Bits,VDC Level Input Average Packets,VDC Level Input Broadcast,VDC Level Input Bytes,VDC Level Input Multicast,VDC Level Input Packets,VDC Level Input Unicast,VDC Level Output Average Bits,VDC Level Output Average Packets,VDC Level Output Broadcast,VDC Level Output Bytes,VDC Level Output Multicast,VDC Level Output Packets,VDC Level Output Unicast
up,N/A,ARPA,N/A,on,N/A,N/A,N/A,N/A,5254.0006.8d3e,1000000,N/A,N/A,N/A,N/A,10,N/A,full,N/A,0x0000,N/A,N/A,5254.0006.8d3e,Ethernet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,off,1500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,255,N/A,N/A,1,1,1000 Mb/s,N/A,N/A,N/A,N/A,mgmt0,broadcast,N/A,up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,0,0,1085,5,5,0,24,0,0,1135,5,5,0
up,InternetNAT,ARPA,auto,on,0,0,0,off,5206.8d3e.0101,1000000,00:05:05,0,0,0,10,0,full,n/a,0x8100,0,0,5206.8d3e.1b08,100/1000/10000 Ethernet,0,off,0,0,241093,0,0,0,0,154,15248,1,15.25 Kbps,1 pps,2504,0,2.50 Kbps,0 pps,154,192.168.255.138,24,192.168.255.0,41,0,0,1d00h,30,30,300,300,0,off,1500,0,0,off,off,0,12029,0,0,5,0,138,1112,1,1.11 Kbps,1 pps,128,0,128 bps,0 pps,133,0,255,0,0,1,1,1000 Mb/s,0,off,0,0,Ethernet1/1,broadcast,Dedicated,up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0102,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0102,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,00:05:11,30,30,300,300,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/2,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0103,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0103,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,00:05:11,30,30,300,300,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/3,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
up,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0104,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0104,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/4,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0105,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0105,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/5,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0106,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0106,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/6,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0107,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0107,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/7,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0108,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0108,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/8,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0109,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0109,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/9,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
